,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2022-04-06,1898.68,2007.94,1897.46,1989.73,248854005.0,4064051492.0,19405521950.0,0.012823875886523114
1,2022-04-07,1988.51,2022.5,1966.66,1976.37,165906455.0,2724002905.0,19405521950.0,0.008549445638590515
2,2022-04-08,1973.94,1997.01,1958.16,1990.94,106677946.0,1741072072.0,19405521950.0,0.005497298463543775
3,2022-04-11,1984.87,1990.94,1918.1,1948.45,141673536.0,2277469056.0,19405521950.0,0.0073006815464708484
4,2022-04-12,1948.45,1973.94,1901.1,1932.67,103926142.0,1654820083.0,19405521950.0,0.005355493259484319
5,2022-04-13,1929.03,1952.09,1908.39,1918.1,89062806.0,1415496126.0,19405521950.0,0.004589559931934735
6,2022-04-14,1942.38,1972.73,1932.67,1947.24,92961494.0,1493343952.0,19405521950.0,0.004790466045671088
7,2022-04-15,1930.24,2006.72,1925.38,1993.37,123176103.0,2014010094.0,19405521950.0,0.006347476935553388
8,2022-04-18,1960.59,1966.66,1919.31,1930.24,108688756.0,1734236524.0,19405521950.0,0.005600918969355524
9,2022-04-19,1930.24,1938.74,1896.25,1919.31,82177249.0,1294226951.0,19405521950.0,0.004234735309451442
10,2022-04-20,1919.31,1948.45,1905.96,1924.17,71655528.0,1137697847.0,19405521950.0,0.003692532887526893
11,2022-04-21,1914.46,1939.95,1905.96,1919.31,70989116.0,1124663651.0,19405521950.0,0.0036581915283139294
12,2022-04-22,1898.68,1965.45,1869.54,1949.66,92127408.0,1468452958.0,19405521950.0,0.0047474841561785455
13,2022-04-25,1902.32,1931.45,1794.27,1802.77,166448098.0,2527610217.0,19405521950.0,0.008577357436139459
14,2022-04-26,1806.41,1818.55,1754.21,1788.2,98820956.0,1456929632.0,19405521950.0,0.005092414223880229
15,2022-04-27,1818.55,1899.89,1816.13,1899.89,149029503.0,2296798759.0,19405521950.0,0.007679747207211811
16,2022-04-28,1890.18,1933.88,1865.9,1899.89,91177187.0,1426381926.0,19405521950.0,0.004698517629926465
17,2022-04-29,1904.75,1910.82,1817.34,1859.83,164501308.0,2503476828.0,19405521950.0,0.00847703599129422
18,2022-05-05,1845.26,1875.61,1839.19,1859.83,79019620.0,1208735142.0,19405521950.0,0.004072017243524851
19,2022-05-06,1823.41,1845.26,1810.06,1816.13,83243182.0,1250995595.0,19405521950.0,0.004289664674543835
20,2022-05-09,1813.7,1813.7,1755.43,1766.35,81862135.0,1197104247.0,19405521950.0,0.004218496941794447
21,2022-05-10,1760.28,1772.42,1712.94,1771.21,99228502.0,1425836927.0,19405521950.0,0.005113415771844261
22,2022-05-11,1765.14,1801.56,1753.0,1776.06,84857362.0,1240700426.0,19405521950.0,0.004372846152690059
23,2022-05-12,1757.85,1767.57,1739.64,1745.71,68506423.0,987061607.0,19405521950.0,0.0035302540780151495
24,2022-05-13,1760.28,1779.71,1759.07,1773.64,67631191.0,985962932.0,19405521950.0,0.003485151864209455
25,2022-05-16,1779.71,1788.2,1742.07,1749.36,66822782.0,965652298.0,19405521950.0,0.003443493154792469
26,2022-05-17,1761.5,1786.99,1738.43,1785.78,93140639.0,1357428407.0,19405521950.0,0.004799697696355959
27,2022-05-18,1802.77,1807.63,1780.92,1790.63,77857833.0,1150500438.0,19405521950.0,0.004012148356566107
28,2022-05-19,1766.35,1784.56,1760.28,1774.85,59092172.0,863214131.0,19405521950.0,0.003045121494400206
29,2022-05-20,1784.56,1825.84,1780.92,1823.41,94859778.0,1415164711.0,19405521950.0,0.004888287892714991
30,2022-05-23,1829.48,1829.48,1791.85,1800.34,64772592.0,962683729.0,19405521950.0,0.0033378433296920415
31,2022-05-24,1805.2,1805.2,1748.14,1748.14,93355706.0,1358693535.0,19405521950.0,0.00481078046962813
32,2022-05-25,1751.78,1759.07,1736.0,1746.93,60322826.0,866228924.0,19405521950.0,0.003108539216591389
33,2022-05-26,1749.36,1751.78,1708.08,1722.65,101131756.0,1435689342.0,19405521950.0,0.005211493731556136
34,2022-05-27,1734.79,1742.07,1712.94,1721.43,72306674.0,1029702186.0,19405521950.0,0.003726087563442219
35,2022-05-30,1731.15,1733.57,1704.44,1709.29,89690123.0,1265573048.0,19405521950.0,0.0046218866584003425
36,2022-05-31,1708.08,1721.43,1699.58,1719.01,93886855.0,1325012048.0,19405521950.0,0.00483815149326607
37,2022-06-01,1716.58,1716.58,1699.58,1709.29,84529898.0,1187423732.0,19405521950.0,0.00435597136824243
38,2022-06-02,1702.01,1703.22,1685.02,1693.51,97926822.0,1363740798.0,19405521950.0,0.005046337957428659
39,2022-06-06,1688.66,1720.22,1655.88,1720.22,171085175.0,2370807610.0,19405521950.0,0.00881631400798266
40,2022-06-07,1702.01,1729.93,1698.37,1719.01,131511262.0,1860366716.0,19405521950.0,0.006777002048120638
41,2022-06-08,1719.01,1720.22,1700.8,1719.01,114552124.0,1613524958.0,19405521950.0,0.005903068430478367
42,2022-06-09,1716.58,1755.43,1711.72,1742.07,163290134.0,2339986708.0,19405521950.0,0.00841462210708535
43,2022-06-10,1731.15,1739.64,1715.36,1738.43,134601231.0,1914639698.0,19405521950.0,0.006936233477605584
44,2022-06-13,1721.43,1722.65,1685.02,1688.66,154775285.0,2163340109.0,19405521950.0,0.007975837259043682
45,2022-06-14,1664.38,1715.36,1664.38,1714.15,115142939.0,1602169898.0,19405521950.0,0.00593351414595679
46,2022-06-15,1711.72,1834.34,1706.87,1789.42,341354371.0,5010292727.0,19405521950.0,0.017590579211398123
47,2022-06-16,1789.42,1800.34,1750.57,1753.0,133254631.0,1939976255.0,19405521950.0,0.006866840858150688
48,2022-06-17,1738.43,1763.92,1723.86,1754.21,105378794.0,1513925914.0,19405521950.0,0.005430350921326287
49,2022-06-20,1753.0,1753.0,1731.15,1740.86,103216680.0,1479529787.0,19405521950.0,0.005318933459555825
50,2022-06-21,1740.86,1776.06,1727.5,1744.5,132179398.0,1905346057.0,19405521950.0,0.006811432248025671
51,2022-06-22,1743.29,1743.29,1709.29,1709.29,105604592.0,1498415784.0,19405521950.0,0.005441986681528038
52,2022-06-23,1710.51,1727.5,1706.87,1723.86,80602803.0,1140899092.0,19405521950.0,0.00415360139282417
53,2022-06-24,1723.86,1729.93,1712.94,1727.5,86604061.0,1227798687.0,19405521950.0,0.004462856563360822
54,2022-06-27,1728.72,1767.57,1726.29,1759.07,149727818.0,2166380438.0,19405521950.0,0.007715732583013568
55,2022-06-28,1756.64,1780.92,1749.36,1776.06,112511048.0,1638673242.0,19405521950.0,0.005797888265509911
56,2022-06-29,1778.49,1808.84,1766.35,1777.28,126654728.0,1865064678.0,19405521950.0,0.0065267364787371775
57,2022-06-30,1776.06,1823.41,1766.35,1818.55,154874501.0,2304888692.0,19405546950.0,0.007980939748776316
58,2022-07-01,1820.98,1829.48,1801.56,1811.27,77924332.0,1164030776.0,19405546950.0,0.004015569991445153
59,2022-07-04,1814.91,1818.55,1790.63,1813.7,83496807.0,1241453402.0,19405546950.0,0.004302728864851706
60,2022-07-05,1819.77,1853.76,1799.13,1810.06,111517210.0,1674719025.0,19405546950.0,0.005746666676663808
61,2022-07-06,1800.34,1812.48,1755.43,1763.92,104333523.0,1520022515.0,19405546950.0,0.005376479378232624
62,2022-07-07,1765.14,1778.49,1745.71,1750.57,73016098.0,1057696547.0,19405546950.0,0.003762640557781341
63,2022-07-08,1760.28,1778.49,1744.5,1765.14,63969823.0,928850349.0,19405546950.0,0.003296471012377211
64,2022-07-11,1760.28,1768.78,1743.29,1755.43,61169194.0,883613754.0,19405546950.0,0.0031521499578243016
65,2022-07-12,1749.36,1788.2,1745.71,1750.57,74288242.0,1078431990.0,19405546950.0,0.0038281962467437694
66,2022-07-13,1750.57,1756.64,1686.23,1695.94,217599606.0,3056913118.0,19405546950.0,0.011213268379431068
67,2022-07-14,1663.16,1664.38,1613.39,1623.1,263212087.0,3534578702.0,19405546950.0,0.01356375513033401
68,2022-07-15,1636.46,1646.17,1604.89,1607.32,159863740.0,2139915274.0,19405546950.0,0.008238043504359974
69,2022-07-18,1608.53,1631.6,1603.68,1625.53,115350581.0,1536340973.0,19405546950.0,0.005944206638298335
70,2022-07-19,1619.46,1630.39,1612.18,1629.17,75559710.0,1008562417.0,19405546950.0,0.003893717100305694
71,2022-07-20,1630.39,1635.24,1620.67,1625.53,80145866.0,1073936300.0,19405546950.0,0.004130049320769081
72,2022-07-21,1617.03,1619.46,1576.97,1579.4,197038789.0,2588696130.0,19405546950.0,0.010153735398836568
73,2022-07-22,1586.56,1597.69,1559.38,1582.86,137650974.0,1755555714.0,19405546950.0,0.007093382853607226
74,2022-07-25,1581.62,1587.8,1565.56,1584.09,76395581.0,976071707.0,19405546950.0,0.003936790918433763
75,2022-07-26,1575.44,1595.21,1570.5,1595.21,102404881.0,1314310442.0,19405546950.0,0.005277093259151863
76,2022-07-27,1587.8,1591.51,1572.97,1580.39,92391408.0,1182889761.0,19405546950.0,0.004761082397628581
77,2022-07-28,1582.86,1595.21,1579.15,1591.51,75034652.0,964903658.0,19405546950.0,0.0038666599912557478
78,2022-07-29,1591.51,1593.98,1563.09,1566.79,83149747.0,1059518585.0,19405546950.0,0.004284844287782365
79,2022-08-01,1564.32,1564.32,1532.2,1534.67,102573271.0,1277987010.0,19405546950.0,0.005285770674966726
80,2022-08-02,1509.96,1524.78,1475.36,1514.9,137300930.0,1664397666.0,19405546950.0,0.007075344506071755
81,2022-08-03,1506.25,1516.13,1484.01,1486.48,74613653.0,905653325.0,19405546950.0,0.0038449652149588087
82,2022-08-04,1495.13,1503.78,1485.24,1502.54,60267562.0,729351710.0,19405546950.0,0.00310568736636408
83,2022-08-05,1498.83,1523.55,1480.3,1521.08,76529787.0,930836354.0,19405546950.0,0.003943706776066933
84,2022-08-08,1513.66,1527.25,1502.54,1507.48,55199969.0,674950921.0,19405546950.0,0.0028445458992847404
85,2022-08-09,1508.72,1509.96,1492.66,1497.6,55844757.0,677098633.0,19405546950.0,0.0028777728936931614
86,2022-08-10,1497.6,1512.43,1485.24,1490.18,68302321.0,825806008.0,19405546950.0,0.0035197318156497516
87,2022-08-11,1492.66,1530.96,1487.71,1526.02,139930361.0,1710719478.0,19405546950.0,0.007210843443915401
88,2022-08-12,1514.9,1533.43,1507.48,1529.73,82050356.0,1010612433.0,19405546950.0,0.004228190847256692
89,2022-08-15,1518.6,1527.25,1493.89,1496.36,117201000.0,1425087455.0,19405546950.0,0.006039561796530553
90,2022-08-16,1496.36,1507.48,1495.13,1498.83,63122370.0,765907219.0,19405546950.0,0.0032528003545913967
91,2022-08-17,1501.31,1534.67,1491.42,1532.2,134850658.0,1656961619.0,19405546950.0,0.00694907792846313
92,2022-08-18,1542.08,1549.5,1502.54,1513.66,126970094.0,1560630568.0,19405546950.0,0.006542979403113397
93,2022-08-19,1516.13,1575.44,1511.19,1553.2,210641724.0,2653471090.0,19405546950.0,0.010854717186932986
94,2022-08-22,1554.44,1566.79,1533.43,1544.55,113807658.0,1423361879.0,19405546950.0,0.005864697258636145
95,2022-08-23,1538.37,1543.32,1517.37,1524.78,92146307.0,1137300431.0,19405546950.0,0.004748451936831391
96,2022-08-24,1523.55,1549.5,1523.55,1532.2,129537533.0,1613309589.0,19405546950.0,0.006675283790442196
97,2022-08-25,1532.2,1564.32,1519.84,1559.38,106401061.0,1329230362.0,19405546950.0,0.005483023038420466
98,2022-08-26,1566.79,1575.44,1539.61,1558.15,92763426.0,1168951099.0,19405546950.0,0.004780253101807058
